"SoftUni Contests", "СОФТУНИ КОНКУРСИ"
"Contests", "Конкурси"
"Contestants", "Участници"
"Contestant ID", "№ състезател"
"Contest ID", "№ конкурс"
"Add Contestant", "Нов участник"
"Add Contest", "Нов конкурс"
"Contest", "Конкурс"
"Is Approved", "Одобрен"
"Name", "Име"
"Family", "Фамилия"
"Birthday", "Рождена дата"
"Country", "Държава"
"City", "Град"
"Message", "Съобщение"
"Created", "Създаден"
"Updated", "Редактиран"
"General Information", "Общи данни"
"Contest Assigned", ""
"Contestant Details", "Информация за участник"
"Save Contestant", "Запис участник"
"Save Contest", "Запис конкурс"
"Delete Contestant", "Изтриване участник"
"Delete Contest", "Изтриване конкурс"
"Save and Continue Edit", "Запис и продължение"
"Back", "Назад"
"Reset", "Изчистване форма"
"This contestant no longer exists.", "Не съществува такъв участник"
"The contestant has been saved.", "Участникът записан"
"The contestant has been deleted.", "Участникът изтрит"
"Unable to find a contestant to delete.", "Няма такъв участник за изтриване"
"This contest no longer exists.", "Не съществува такъв конкурс"
"The contest has been saved.", "Конкурсът записан"
"The contest has been deleted.", "Конкурсът изтрит"
"Unable to find a contest to delete.", "Няма такъв конкурс за изтриване"
"Title", "Заглавие конкурс"
"Is Active", "Активен"
"Yes", "Да"
"No", "Не"
"Submit", "Изпращане"
"This contest is unavailable", "Такъв конкурс не съществува"
"Entering contest", "Регистрация за конкурс"
"This contest has no approved contestants", "Този конкурс няма одобрени участници"
"List of Contestants for contest", "Участници в конкурс"
"", ""
